# domain	scenario	engine	file
# L0 meta-clusters: A=data-metrics · B=process-systems · C=infra-governance · D=knowledge-expression
# Columns: domain <TAB> scenario <TAB> engine <TAB> example file (no extension)
delivery-throughput	release-packet-profile	vega	build-time-candles
delivery-throughput	release-packet-profile	vega	request-size-distribution
delivery-throughput	release-packet-profile	vega	asset-size-packing
delivery-throughput	release-packet-profile	vega	release-time-split-donut
delivery-throughput	work-mix	echarts	engineering-time-100pct-bars
goal-and-status-reporting	programme-status	infographic	program-status-ribbons
goal-and-status-reporting	metric-board	html-css	metric-snapshot-board
goal-and-status-reporting	kpi-dashboard	echarts	kpi-dashboard
goal-and-status-reporting	leadership-board	infographic	leadership-metric-board
delivery-throughput	plan-vs-actual	vega	plan-to-actual-bridge
engineering-operations	standup	infographic	sprint-standup-talking-points
engineering-operations	ops-rhythm	infographic	quarterly-business-rhythm
engineering-operations	ops-rhythm	infographic	operating-cycle-loop
engineering-operations	ops-checklist	infographic	daily-ops-checklist-columns
engineering-operations	oncall-coverage	infographic	oncall-coverage-wheel
engineering-operations	shift-handover	infographic	support-shift-handover
engineering-operations	shift-handover	infographic	shift-handover-timeline
incident-management	incident-runbook	infographic	incident-response-runbook
incident-management	escalation-path	infographic	incident-escalation-path
incident-management	escalation-path	infographic	support-escalation-pyramid
incident-management	escalation-path	infographic	release-blockers-escalation
incident-management	escalation-path	echarts	tree-support-routing
engineering-operations	release-pace	echarts	calendar-release-pace
incident-management	triage-filters	infographic	bug-triage-filters
incident-management	change-control	infographic	change-request-columns
engineering-operations	launch-readiness	infographic	launch-readiness-checklist
migration-and-rollout	service-lifecycle	infographic	service-lifecycle-wheel
engineering-operations	deploy-rhythm	vega	deploy-frequency-calendar
engineering-operations	deploy-rhythm	vega	deploy-punchcard-weekday-hour
migration-and-rollout	rollout-phases	infographic	device-rollout-phases
incident-management	field-playbook	infographic	field-ops-playbook
incident-management	incident-review	html-css	incident-review-card
organization-and-roles	team-handoffs	echarts	chord-team-handoffs
product-metrics	conversion-funnel	echarts	funnel-stage-conversion
product-metrics	conversion-funnel	infographic	conversion-funnel-journey
product-metrics	conversion-funnel	infographic	claims-pipeline-funnel
go-to-market	acquisition-mix	echarts	donut-channel-mix
go-to-market	acquisition-mix	echarts	lead-source-rose
go-to-market	acquisition-mix	infographic	traffic-source-mix-split
product-metrics	adoption-trend	infographic	feature-adoption-trend
product-metrics	customer-journey	infographic	customer-health-journey
product-metrics	onboarding-journey	infographic	customer-onboarding-journey
product-metrics	experiment-loop	infographic	growth-experiment-loop
product-metrics	channel-flow	echarts	sankey-channel-to-fulfilment
business-reporting	periodic-results	infographic	quarterly-results-columns
business-reporting	periodic-results	infographic	revenue-staircase-plan
business-reporting	periodic-results	echarts	candlestick-quarterly-price-range
business-reporting	revenue-mix	infographic	regional-revenue-split
business-reporting	revenue-mix	infographic	product-mix-donut-badges
business-reporting	revenue-mix	infographic	subscription-tiers-wheel
business-reporting	revenue-mix	vega	quarterly-share-normalized-stack
business-reporting	revenue-concentration	vega	revenue-concentration-topk-others
business-reporting	category-comparison	echarts	comparison-bars
business-reporting	category-comparison	infographic	channel-performance-comparison
go-to-market	market-entry	infographic	market-entry-swot
go-to-market	partner-tiers	infographic	partner-tiers-pyramid
go-to-market	partner-onboarding	infographic	partner-onboarding-timeline
go-to-market	sales-pipeline	infographic	sales-qualification-gates
business-reporting	goal-progress	infographic	sustainability-goals-progress
cost-and-budget	budget-split	echarts	pie-budget-share
cost-and-budget	budget-split	infographic	budget-allocation-donut
cost-and-budget	budget-split	infographic	cost-structure-split
cost-and-budget	spend-hierarchy	echarts	treemap-portfolio-breakdown
cost-and-budget	spend-hierarchy	echarts	sunburst-lifecycle-share
cost-and-budget	spend-hierarchy	vega	cost-center-treemap
cost-and-budget	spend-by-scope	echarts	cloud-spend-nested-pie
cost-and-budget	cost-walk	echarts	run-rate-waterfall
cost-and-budget	cost-walk	infographic	cost-reduction-waterfall
cost-and-budget	cost-walk	infographic	budget-drawdown-waterfall
cost-and-budget	variance-vs-plan	echarts	headcount-variance-diverging-bars
cost-and-budget	cost-vs-capacity	vega	capacity-cost-dual-axis
data-exploration	correlation	vega	metric-correlation-matrix
data-exploration	correlation	echarts	scatter-segment-correlation
data-exploration	regression-fit	vega	regression-trend-fit
data-exploration	deviation-analysis	vega	deviation-from-average
data-exploration	distribution-comparison	vega	metric-distribution-small-multiples
data-exploration	distribution-comparison	vega	stripplot-region-spread
data-exploration	missing-data	vega	imputed-gap-trend
data-exploration	small-multiples	vega	segment-pattern-small-multiples
data-exploration	composition-over-time	vega	streamgraph-topic-composition
data-exploration	multi-metric-screen	echarts	parallel-risk-screen
process-and-workflow	approval-workflow	plantuml	approval-workflow-swimlane
process-and-workflow	cicd-pipeline	plantuml	cicd-pipeline
process-and-workflow	approval-path	infographic	procurement-approval-path
process-and-workflow	returns-processing	infographic	returns-processing-snake
software-behaviour	eip-message-flow	plantuml	eip-message-flow
software-behaviour	event-driven-flow	plantuml	serverless-event-driven
software-design	domain-class-model	plantuml	domain-class-model
software-design	component-decomposition	plantuml	component-decomposition
software-design	c4-container	plantuml	c4-container-diagram
software-behaviour	deployment-topology	plantuml	runtime-deployment-topology
software-behaviour	state-machine	plantuml	order-state-machine
software-behaviour	api-interaction-sequence	plantuml	api-interaction-sequence
dependencies-and-relations	dependency-graph	dot	dependency-graph
dependencies-and-relations	dependency-graph	dot	clustered-architecture
dependencies-and-relations	causal-tree	dot	fishbone-causal-tree
dependencies-and-relations	relationship-network	dot	relationship-network-neato
dependencies-and-relations	tabular-nodes	dot	table-node-structures
dependencies-and-relations	service-dependencies	infographic	platform-dependency-graph
dependencies-and-relations	service-dependencies	infographic	service-dependency-network
dependencies-and-relations	service-dependencies	vega	service-call-force-map
dependencies-and-relations	service-dependencies	echarts	graph-platform-dependencies
dependencies-and-relations	ownership-graph	echarts	service-ownership-circle-graph
dependencies-and-relations	import-coupling	vega	module-import-arcs
cloud-architecture	aws-serverless	plantuml	aws-serverless-architecture
cloud-architecture	kubernetes-platform	plantuml	kubernetes-platform
cloud-architecture	iot-platform	plantuml	iot-platform
cloud-architecture	observability-stack	plantuml	operations-observability-aws
cloud-architecture	migration-options	infographic	cloud-migration-approaches
data-platform	lakehouse-architecture	plantuml	data-platform-lakehouse
data-platform	ml-pipeline	plantuml	machine-learning-pipeline
data-platform	entity-relationships	plantuml	entity-relationships-crows-foot
network-topology	enterprise-network	plantuml	network-topology-enterprise
network-topology	packet-layout	plantuml	packet-layout-tcp-header
network-topology	radial-network	dot	radial-hub-network
network-topology	route-flows	echarts	lines-route-flows
security-and-compliance	security-baseline	plantuml	security-baseline-aws
security-and-compliance	threat-model	plantuml	threat-model-trust-boundaries
security-and-compliance	zero-trust-access	plantuml	zero-trust-access
security-and-compliance	audit-trail	infographic	audit-trail-checkpoints
security-and-compliance	compliance-evidence	infographic	compliance-evidence-zigzag
security-and-compliance	hardening-sprint	infographic	security-hardening-sprint
security-and-compliance	compliance-audit	html-css	compliance-audit-card
security-and-compliance	risk-register	html-css	risk-register-card
enterprise-architecture	archimate-layered-model	plantuml	archimate-layered-model
enterprise-architecture	capability-map	plantuml	capability-map
enterprise-architecture	stakeholder-map	infographic	stakeholder-circle-wheel
organization-and-roles	org-structure	infographic	platform-org-structure
organization-and-roles	org-structure	infographic	team-reporting-tree
organization-and-roles	org-structure	vega	org-chart-radial-tree
organization-and-roles	capability-coverage	infographic	team-capability-icon-grid
organization-and-roles	capability-maturity	infographic	capability-pyramid-framework
people-and-hiring	skills-progression	infographic	engineer-skill-progression
people-and-hiring	skills-progression	infographic	certification-study-roadmap
people-and-hiring	career-ladder	infographic	career-growth-ladder
organization-and-roles	workforce-profile	vega	workforce-seniority-pyramid
people-and-hiring	hiring-plan	infographic	hiring-plan-roadmap
people-and-hiring	hiring-loop	infographic	hiring-loop-checklist
people-and-hiring	onboarding-tasks	infographic	onboarding-task-progress
people-and-hiring	onboarding-programme	infographic	onboarding-milestone-grid
organization-and-roles	org-update	html-css	org-update-card
knowledge-and-outline	topic-mindmap	plantuml	topic-mindmap
knowledge-and-outline	knowledge-map	infographic	enterprise-knowledge-map
knowledge-and-outline	knowledge-tree	infographic	department-capability-tree
knowledge-and-outline	concept-relations	infographic	capability-relationship-map
knowledge-and-outline	keyword-cloud	infographic	topic-emphasis-wordcloud
knowledge-and-outline	keyword-cloud	infographic	survey-themes-rotated-cloud
knowledge-and-outline	keyword-cloud	vega	topic-landscape-wordcloud
knowledge-and-outline	topic-flow	echarts	themeriver-topic-attention
knowledge-and-outline	content-mix	vega	catalog-sunburst-share
planning-and-roadmap	product-roadmap	infographic	product-roadmap-sequence
planning-and-roadmap	milestones	infographic	platform-milestone-timeline
planning-and-roadmap	planning-cycle	infographic	quarterly-planning-cycle
migration-and-rollout	migration-waves	infographic	data-platform-migration-waves
migration-and-rollout	cutover-window	infographic	migration-cutover-window
migration-and-rollout	launch-effort	infographic	launch-effort-curve
planning-and-roadmap	strategy-focus	infographic	strategy-focus-wheel
planning-and-roadmap	release-schedule	vega	release-window-schedule
planning-and-roadmap	release-gantt	plantuml	release-gantt-plan
migration-and-rollout	migration-programme	plantuml	cloud-migration-programme
migration-and-rollout	work-breakdown	plantuml	work-breakdown-structure
planning-and-roadmap	roadmap-board	html-css	delivery-roadmap-board
comparison-and-selection	priority-quadrant	infographic	backlog-priority-quadrant
comparison-and-selection	priority-quadrant	infographic	scenario-planning-quadrant
comparison-and-selection	priority-quadrant	infographic	test-automation-quadrant
comparison-and-selection	build-or-buy	infographic	buy-vs-build-comparison
comparison-and-selection	architecture-options	infographic	monolith-vs-modular
comparison-and-selection	operating-model	infographic	operating-model-option-map
comparison-and-selection	packaging-options	infographic	packaging-choice-cards
comparison-and-selection	release-tradeoffs	infographic	release-plan-tradeoff-fold
comparison-and-selection	vendor-scorecard	infographic	vendor-selection-scorecard
comparison-and-selection	decision-record	html-css	decision-comparison-card
internal-documents	executive-brief	html-css	executive-brief-summary
internal-documents	policy-memo	html-css	policy-memo-card
internal-documents	key-quote	html-css	key-quote-card
customer-and-partner-comms	sales-brief	html-css	sales-brief-card
customer-and-partner-comms	partner-brief	html-css	partner-brief-card
customer-and-partner-comms	customer-story	html-css	customer-story-card
internal-documents	research-abstract	html-css	research-abstract-card
customer-and-partner-comms	news-bulletin	html-css	news-bulletin-card
customer-and-partner-comms	education-module	html-css	education-module-card
internal-documents	committee-charter	infographic	board-committee-charter
internal-documents	principles-checklist	infographic	culture-principles-checklist
catalogues-and-inventories	tooling-inventory	infographic	tooling-standard-inventory
catalogues-and-inventories	service-catalogue	infographic	service-offerings-grid
catalogues-and-inventories	support-tiers	infographic	support-tier-entitlements
system-architecture	layer-stack	html-css	layer-stack
system-architecture	operations-overview	html-css	operations-overview
system-architecture	layered-with-wings	html-css	layered-with-wings
system-architecture	pipeline-stages	html-css	pipeline-stages
system-architecture	nested-zones	html-css	nested-zones
system-architecture	request-paths	html-css	request-paths
system-architecture	service-catalog	html-css	service-catalog
system-architecture	complex-system-blueprint	html-css	complex-system-blueprint
software-design	package-layering	plantuml	package-layering
software-design	object-snapshot	plantuml	object-snapshot
software-design	use-case-model	plantuml	use-case-model
software-design	sysml-block-definition	plantuml	sysml-block-definition
process-and-workflow	basic-activity-flow	plantuml	basic-activity-flow
theme-and-tone	accessible-service-mix	infographic	accessible-service-mix
theme-and-tone	print-handout-graph	dot	print-handout-graph
theme-and-tone	vivid-launch-share	echarts	vivid-launch-share
theme-and-tone	editorial-policy-flow	plantuml	editorial-policy-flow
